timestamp_local,value
2026-01-30T08:42:13,30
2026-01-30T08:43:13,28
2026-01-30T08:44:14,30
2026-01-30T08:45:14,28
2026-01-30T08:46:14,29
2026-01-30T08:47:14,31
2026-01-30T08:48:14,30
2026-01-30T08:49:14,30
2026-01-30T08:50:14,30
2026-01-30T08:51:14,30
2026-01-30T08:52:14,30
2026-01-30T08:53:14,27
2026-01-30T08:54:14,21
2026-01-30T08:55:14,30
2026-01-30T08:56:15,30
2026-01-30T08:57:14,30
2026-01-30T08:58:14,28
2026-01-30T08:59:15,29
2026-01-30T09:00:15,30
2026-01-30T09:01:14,24
2026-01-30T09:02:15,24
2026-01-30T09:03:15,24
2026-01-30T09:04:15,28
2026-01-30T09:05:15,29
2026-01-30T09:06:15,27
2026-01-30T09:07:15,27
2026-01-30T09:08:15,30
2026-01-30T09:09:15,32
2026-01-30T09:10:15,30
2026-01-30T09:11:16,28
2026-01-30T09:12:15,25
2026-01-30T09:13:16,32
2026-01-30T09:15:16,29
2026-01-30T09:16:16,27
2026-01-30T09:17:16,29
2026-01-30T09:18:16,28
2026-01-30T09:19:16,24
2026-01-30T09:20:16,21
2026-01-30T09:21:16,27
2026-01-30T09:22:16,25
2026-01-30T09:23:16,23
2026-01-30T09:24:16,28
2026-01-30T09:25:16,29
2026-01-30T09:26:16,25
2026-01-30T09:27:17,22
2026-01-30T09:28:16,21
2026-01-30T09:29:16,25
2026-01-30T09:30:17,23
2026-01-30T09:31:17,27
2026-01-30T09:32:17,24
2026-01-30T09:33:17,24
2026-01-30T09:34:17,21
2026-01-30T09:35:17,19
2026-01-30T09:36:17,21
2026-01-30T09:37:17,22
2026-01-30T09:38:17,23
2026-01-30T09:39:17,21
2026-01-30T09:40:17,20
2026-01-30T09:41:18,22
2026-01-30T09:42:17,24
2026-01-30T09:43:17,21
2026-01-30T09:44:18,27
2026-01-30T09:45:17,25
2026-01-30T09:46:18,23
2026-01-30T09:47:18,20
2026-01-30T09:48:18,22
2026-01-30T09:49:18,22
2026-01-30T09:50:18,23
2026-01-30T09:51:18,21
2026-01-30T09:52:18,21
2026-01-30T09:53:18,22
2026-01-30T09:54:18,27
2026-01-30T09:55:18,21
2026-01-30T09:56:18,20
2026-01-30T09:57:18,21
2026-01-30T09:58:18,24
2026-01-30T09:59:20,30
2026-01-30T10:00:18,28
2026-01-30T10:01:19,21
2026-01-30T10:02:18,21
2026-01-30T10:03:19,25
2026-01-30T10:04:19,22
2026-01-30T10:05:19,30
2026-01-30T10:06:19,22
2026-01-30T10:07:19,22
2026-01-30T10:08:19,22
2026-01-30T10:09:19,23
2026-01-30T10:10:19,24
2026-01-30T10:11:19,22
2026-01-30T10:12:19,20
2026-01-30T10:13:19,20
2026-01-30T10:14:19,21
2026-01-30T10:15:20,27
2026-01-30T10:16:20,19
2026-01-30T10:17:19,21
2026-01-30T10:18:20,20
2026-01-30T10:19:20,21
2026-01-30T10:20:20,20
2026-01-30T10:21:20,21
2026-01-30T10:22:20,20
2026-01-30T10:23:20,21
2026-01-30T10:24:20,20
2026-01-30T10:25:20,28
2026-01-30T10:26:20,22
2026-01-30T10:27:20,22
2026-01-30T10:28:21,21
2026-01-30T10:29:20,24
2026-01-30T10:30:20,21
2026-01-30T10:31:21,28
2026-01-30T10:32:20,22
2026-01-30T10:33:21,21
2026-01-30T10:34:21,23
2026-01-30T10:35:21,23
2026-01-30T10:36:21,22
2026-01-30T10:37:21,27
2026-01-30T10:38:21,23
2026-01-30T10:39:21,22
2026-01-30T10:40:21,22
2026-01-30T10:41:21,29
2026-01-30T10:42:21,23
2026-01-30T10:43:21,22
2026-01-30T10:44:21,22
2026-01-30T10:45:22,24
2026-01-30T10:46:22,23
2026-01-30T10:47:21,23
2026-01-30T10:48:22,20
2026-01-30T10:49:22,23
2026-01-30T10:50:22,27
2026-01-30T10:51:22,23
2026-01-30T10:52:22,24
2026-01-30T10:53:22,21
2026-01-30T10:54:22,21
2026-01-30T10:55:22,23
2026-01-30T10:56:22,24
2026-01-30T10:57:22,21
2026-01-30T10:58:23,22
2026-01-30T10:59:22,23
2026-01-30T11:00:22,22
2026-01-30T11:01:23,25
2026-01-30T11:02:23,24
2026-01-30T11:03:23,21
2026-01-30T11:04:23,25
2026-01-30T11:05:23,21
2026-01-30T11:06:23,22
2026-01-30T11:07:23,25
2026-01-30T11:08:23,25
2026-01-30T11:09:23,22
2026-01-30T11:10:23,22
2026-01-30T11:11:23,27
2026-01-30T11:12:23,20
2026-01-30T11:13:24,22
2026-01-30T11:14:23,28
2026-01-30T11:15:23,23
2026-01-30T11:16:24,27
2026-01-30T11:17:24,23
2026-01-30T11:18:24,28
2026-01-30T11:19:24,24
2026-01-30T11:20:24,24
2026-01-30T11:21:24,22
2026-01-30T11:22:24,27
2026-01-30T11:23:24,23
2026-01-30T11:24:24,31
2026-01-30T11:25:24,24
2026-01-30T11:26:24,25
2026-01-30T11:27:24,28
2026-01-30T11:28:24,23
2026-01-30T11:29:24,21
2026-01-30T11:30:25,30
2026-01-30T11:31:25,24
2026-01-30T11:32:24,27
2026-01-30T11:33:25,29
2026-01-30T11:34:25,29
2026-01-30T11:35:25,30
2026-01-30T11:36:25,32
2026-01-30T11:37:25,29
2026-01-30T11:38:25,30
2026-01-30T11:39:25,30
2026-01-30T11:40:25,27
2026-01-30T11:41:25,30
2026-01-30T11:42:25,34
2026-01-30T11:43:25,29
2026-01-30T11:44:25,30
2026-01-30T11:45:26,28
2026-01-30T11:46:26,32
2026-01-30T11:47:25,27
2026-01-30T11:48:26,30
2026-01-30T11:49:26,33
2026-01-30T11:50:26,30
2026-01-30T11:51:26,27
2026-01-30T11:52:26,30
2026-01-30T11:53:26,25
2026-01-30T11:54:26,28
2026-01-30T11:55:26,30
2026-01-30T11:56:26,23
2026-01-30T11:57:26,30
2026-01-30T11:58:26,30
2026-01-30T11:59:26,30
2026-01-30T12:00:27,30
2026-01-30T12:01:26,31
2026-01-30T12:02:27,32
2026-01-30T12:03:27,29
2026-01-30T12:04:26,30
2026-01-30T12:05:27,30
2026-01-30T12:06:27,30
2026-01-30T12:07:27,32
2026-01-30T12:08:27,32
2026-01-30T12:09:27,30
2026-01-30T12:10:27,29
2026-01-30T12:11:27,32
2026-01-30T12:12:27,30
2026-01-30T12:13:27,32
2026-01-30T12:14:27,29
2026-01-30T12:15:27,31
2026-01-30T12:16:27,30
2026-01-30T12:17:28,30
2026-01-30T12:18:27,30
2026-01-30T12:19:28,30
2026-01-30T12:20:28,30
2026-01-30T12:21:28,30
2026-01-30T12:22:28,30
2026-01-30T12:23:28,34
2026-01-30T12:24:28,30
2026-01-30T12:25:28,30
2026-01-30T12:26:28,30
2026-01-30T12:27:28,24
2026-01-30T12:28:28,28
2026-01-30T12:29:28,36
2026-01-30T12:30:28,31
2026-01-30T12:31:28,25
2026-01-30T12:32:28,30
2026-01-30T12:33:29,29
2026-01-30T12:34:29,30
2026-01-30T12:35:28,31
2026-01-30T12:36:29,28
2026-01-30T12:37:29,30
2026-01-30T12:38:29,30
2026-01-30T12:39:29,29
2026-01-30T12:40:29,31
2026-01-30T12:41:29,30
2026-01-30T12:42:29,31
2026-01-30T12:43:29,29
2026-01-30T12:44:29,30
2026-01-30T12:45:29,30
2026-01-30T12:46:29,30
2026-01-30T12:47:30,29
2026-01-30T12:48:29,27
2026-01-30T12:49:29,29
2026-01-30T12:50:30,30
2026-01-30T12:51:30,32
2026-01-30T12:52:30,29
2026-01-30T12:53:30,31
2026-01-30T12:54:30,24
2026-01-30T12:55:30,30
2026-01-30T12:56:30,24
2026-01-30T12:57:30,30
2026-01-30T12:58:30,28
2026-01-30T12:59:30,30
2026-01-30T13:00:30,30
2026-01-30T13:01:30,30
2026-01-30T13:02:30,30
2026-01-30T13:03:30,30
2026-01-30T13:04:31,29
2026-01-30T13:05:31,30
2026-01-30T13:06:30,30
2026-01-30T13:07:31,30
2026-01-30T13:08:31,30
2026-01-30T13:09:31,30
2026-01-30T13:10:31,31
2026-01-30T13:11:31,32
2026-01-30T13:12:31,30
2026-01-30T13:13:31,29
2026-01-30T13:14:31,28
2026-01-30T13:15:31,30
2026-01-30T13:16:31,29
2026-01-30T13:17:31,27
2026-01-30T13:18:31,31
2026-01-30T13:19:32,27
2026-01-30T13:20:31,30
2026-01-30T13:21:31,28
2026-01-30T13:22:32,32
2026-01-30T13:23:32,31
2026-01-30T13:24:32,30
2026-01-30T13:25:32,25
2026-01-30T13:26:32,27
2026-01-30T13:27:32,28
2026-01-30T13:28:32,25
2026-01-30T13:29:32,27
2026-01-30T13:30:32,30
2026-01-30T13:31:32,27
2026-01-30T13:32:32,27
2026-01-30T13:33:32,28
2026-01-30T13:34:32,28
2026-01-30T13:35:32,30
2026-01-30T13:36:32,30
2026-01-30T13:37:32,29
2026-01-30T13:38:33,31
2026-01-30T13:39:32,30
2026-01-30T13:40:33,30
2026-01-30T13:41:33,25
2026-01-30T13:42:33,31
2026-01-30T13:43:33,30
2026-01-30T13:44:33,30
2026-01-30T13:45:33,30
2026-01-30T13:46:33,31
2026-01-30T13:47:33,24
2026-01-30T13:48:33,30
2026-01-30T13:49:33,30
2026-01-30T13:50:33,29
2026-01-30T13:51:33,32
2026-01-30T13:52:33,31
2026-01-30T13:53:33,32
2026-01-30T13:54:34,31
2026-01-30T13:55:33,29
2026-01-30T13:56:34,30
2026-01-30T13:57:34,30
2026-01-30T13:58:34,30
2026-01-30T13:59:34,28
2026-01-30T14:00:34,30
2026-01-30T14:01:34,25
2026-01-30T14:02:34,27
2026-01-30T14:03:34,24
2026-01-30T14:04:34,28
2026-01-30T14:05:34,30
2026-01-30T14:06:34,29
2026-01-30T14:07:34,28
2026-01-30T14:08:34,23
2026-01-30T14:09:35,30
2026-01-30T14:10:35,31
2026-01-30T14:11:34,30
2026-01-30T14:12:35,28
2026-01-30T14:13:35,30
2026-01-30T14:14:35,29
2026-01-30T14:15:35,25
2026-01-30T14:16:35,28
2026-01-30T14:17:35,27
2026-01-30T14:18:35,25
2026-01-30T14:19:35,28
2026-01-30T14:20:35,29
2026-01-30T14:21:35,27
2026-01-30T14:22:35,30
2026-01-30T14:23:36,30
2026-01-30T14:24:35,24
2026-01-30T14:25:35,27
2026-01-30T14:26:36,28
2026-01-30T14:27:35,32
2026-01-30T14:28:36,35
2026-01-30T14:29:36,29
2026-01-30T14:30:36,30
2026-01-30T14:31:36,30
2026-01-30T14:32:36,29
2026-01-30T14:33:36,25
2026-01-30T14:34:36,28
2026-01-30T14:35:36,29
2026-01-30T14:36:36,29
2026-01-30T14:37:36,25
2026-01-30T14:38:36,27
2026-01-30T14:39:36,29
2026-01-30T14:40:37,28
2026-01-30T14:41:36,29
2026-01-30T14:42:36,27
2026-01-30T14:43:37,30
2026-01-30T14:44:36,29
2026-01-30T14:45:37,31
2026-01-30T14:46:37,30
2026-01-30T14:47:37,24
2026-01-30T14:48:37,32
2026-01-30T14:49:37,29
2026-01-30T14:50:37,33
2026-01-30T14:51:37,31
2026-01-30T14:52:37,30
2026-01-30T14:53:37,29
2026-01-30T14:54:37,33
2026-01-30T14:55:37,29
2026-01-30T14:56:37,31
2026-01-30T14:57:37,29
2026-01-30T14:58:37,30
2026-01-30T14:59:38,31
2026-01-30T15:00:37,30
2026-01-30T15:01:38,31
2026-01-30T15:02:38,31
2026-01-30T15:03:38,30
2026-01-30T15:04:38,28
2026-01-30T15:05:38,30
2026-01-30T15:06:38,30
2026-01-30T15:07:38,28
2026-01-30T15:08:38,30
2026-01-30T15:09:38,30
2026-01-30T15:10:38,33
2026-01-30T15:11:38,30
2026-01-30T15:12:38,30
2026-01-30T15:13:39,32
2026-01-30T15:14:38,32
2026-01-30T15:15:39,30
2026-01-30T15:16:39,30
2026-01-30T15:17:38,31
2026-01-30T15:18:39,30
2026-01-30T15:19:39,30
2026-01-30T15:20:39,31
2026-01-30T15:21:39,29
2026-01-30T15:22:39,30
